역대 박스오피스 검색 리스트 (통합전산망 집계 기준),,,,,,,,,
,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
129,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724",한국,한국,(주)싸이더스
130,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,420",한국,한국,(주)쇼박스
131,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
132,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
133,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,씨제이이앤엠(주)
134,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,711,040,385","3,963,251","1,106","110,109",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
135,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아
136,박수건달,2013-01-09,"28,379,548,569","3,897,969",603,"60,604",한국,한국,(주)쇼박스
137,매드 맥스: 분노의 도로,2015-05-14,"33,390,156,362","3,884,129",799,"101,123",미국,"미국,호주",워너브러더스 코리아(주)
138,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",825,"80,499",한국,한국,(주)쇼박스
139,역린,2014-04-30,"29,895,031,890","3,849,700","1,054","83,302",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
140,남한산성,2017-10-03,"31,225,419,792","3,849,129","1,229","71,102",한국,한국,씨제이이앤엠(주)
141,쌍화점,2008-12-30,"25,411,823,400","3,749,034",532,"72,498",한국,한국,(주)쇼박스
142,신기전,2008-09-04,"24,326,406,000","3,728,439",585,"78,464",한국,한국,씨제이엔터테인먼트
143,너의 이름은.,2017-01-04,"29,855,802,556","3,711,301",947,"84,501",일본,일본,메가박스(주)플러스엠
144,해리 포터와 불사조 기사단,2007-07-11,"22,899,775,300","3,691,060",768,"52,349",미국,미국,워너브러더스 코리아(주)
145,미이라,2017-06-06,"30,504,689,978","3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
146,분노의 질주: 더 익스트림,2017-04-12,"29,981,156,348","3,653,238","1,469","113,241",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
147,인턴,2015-09-24,"28,522,202,348","3,611,166",659,"81,589",미국,미국,워너브러더스 코리아(주)
148,귀향,2016-02-24,"27,249,801,990","3,587,182",876,"90,288",한국,한국,(주)와우픽쳐스
149,리얼 스틸,2011-10-12,"26,566,677,000","3,579,666",603,"87,650",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
150,라라랜드,2016-12-07,"29,829,507,094","3,571,730",727,"93,919",미국,미국,판씨네마(주)
151,신의 한 수,2014-07-03,"28,812,027,456","3,566,852",794,"77,110",한국,한국,(주)쇼박스
152,코코,2018-01-11,"27,723,419,440","3,513,137","1,177","85,956",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
153,태풍,2005-12-14,"22,209,675,300","3,471,150",481,"47,155",한국,한국,씨제이엔터테인먼트
154,킹콩,2005-12-14,"21,476,688,172","3,470,059",319,"38,456",미국,미국,UIP코리아
155,부러진 화살,2012-01-18,"25,938,096,000","3,460,212",530,"71,607",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
156,끝까지 간다,2014-05-29,"27,007,303,900","3,450,305",645,"84,876",한국,한국,(주)쇼박스
157,스파이,2013-09-05,"24,513,098,305","3,436,092",785,"72,805",한국,한국,씨제이이앤엠(주)
158,비긴 어게인,2014-08-13,"27,142,810,361","3,434,214",525,"82,956",미국,미국,판씨네마(주)
159,해리포터와 불의 잔,2005-12-01,"21,464,160,900","3,430,975",504,"43,063",미국,미국,워너브러더스 코리아(주)
160,그것만이 내 세상,2018-01-17,"27,444,801,382","3,418,091",956,"95,416",한국,한국,씨제이이앤엠(주)
161,어바웃 타임,2013-12-05,"25,015,136,800","3,396,313",568,"62,415",영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
162,맨 인 블랙 3,2012-05-24,"27,301,520,070","3,379,762",770,"69,538",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
163,이끼,2010-07-14,"25,437,344,000","3,350,311",740,"58,200",한국,한국,씨제이엔터테인먼트
164,한반도,2006-07-13,"20,597,497,600","3,331,593",483,"49,539",한국,한국,씨제이엔터테인먼트
165,포화속으로,2010-06-16,"23,831,968,600","3,330,326",742,"80,093",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
166,슈퍼배드 3,2017-07-26,"24,217,091,019","3,324,874","1,057","59,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
167,데드풀,2016-02-17,"27,595,618,651","3,317,196","1,036","82,521",미국,미국,이십세기폭스코리아(주)
168,아이 캔 스피크,2017-09-21,"25,534,463,986","3,280,631","1,140","93,044",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
169,스타워즈: 깨어난 포스,2015-12-17,"28,353,796,331","3,273,879",940,"69,226",미국,미국,월트디즈니컴퍼니코리아(주)
